"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst","Metadata_timepoint","Metadata_well"
"r05c01f03p03-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p03-ch4sk1fk1fl1","03","sk1","E01"
"r05c01f03p03-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p03-ch4sk2fk1fl1","03","sk2","E01"
"r05c01f03p04-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p04-ch4sk1fk1fl1","04","sk1","E01"
"r05c01f03p04-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p04-ch4sk2fk1fl1","04","sk2","E01"
"r05c01f03p05-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p05-ch4sk1fk1fl1","05","sk1","E01"
"r05c01f03p05-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p05-ch4sk2fk1fl1","05","sk2","E01"
"r05c01f03p06-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p06-ch4sk1fk1fl1","06","sk1","E01"
"r05c01f03p06-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f03","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f03p06-ch4sk2fk1fl1","06","sk2","E01"
"r05c01f04p01-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p01-ch4sk1fk1fl1","01","sk1","E01"
"r05c01f04p01-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p01-ch4sk2fk1fl1","01","sk2","E01"
"r05c01f04p02-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p02-ch4sk1fk1fl1","02","sk1","E01"
"r05c01f04p02-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p02-ch4sk2fk1fl1","02","sk2","E01"
"r05c01f04p03-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p03-ch4sk1fk1fl1","03","sk1","E01"
"r05c01f04p03-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p03-ch4sk2fk1fl1","03","sk2","E01"
"r05c01f04p04-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p04-ch4sk1fk1fl1","04","sk1","E01"
"r05c01f04p04-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p04-ch4sk2fk1fl1","04","sk2","E01"
"r05c01f04p05-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p05-ch4sk1fk1fl1","05","sk1","E01"
"r05c01f04p05-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p05-ch4sk2fk1fl1","05","sk2","E01"
"r05c01f04p06-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p06-ch4sk1fk1fl1","06","sk1","E01"
"r05c01f04p06-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f04","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f04p06-ch4sk2fk1fl1","06","sk2","E01"
"r05c01f05p01-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p01-ch4sk1fk1fl1","01","sk1","E01"
"r05c01f05p01-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p01-ch4sk2fk1fl1","01","sk2","E01"
"r05c01f05p02-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p02-ch4sk1fk1fl1","02","sk1","E01"
"r05c01f05p02-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p02-ch4sk2fk1fl1","02","sk2","E01"
"r05c01f05p03-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p03-ch4sk1fk1fl1","03","sk1","E01"
"r05c01f05p03-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p03-ch4sk2fk1fl1","03","sk2","E01"
"r05c01f05p04-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p04-ch4sk1fk1fl1","04","sk1","E01"
"r05c01f05p04-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p04-ch4sk2fk1fl1","04","sk2","E01"
"r05c01f05p05-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p05-ch4sk1fk1fl1","05","sk1","E01"
"r05c01f05p05-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p05-ch4sk2fk1fl1","05","sk2","E01"
"r05c01f05p06-ch4sk1fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p06-ch4sk1fk1fl1","06","sk1","E01"
"r05c01f05p06-ch4sk2fk1fl1.tiff","~/bucket/inbox/000012095203__2019-12-10T17_54_05-Measurement_2/Images","f05","ch4","000012095203__2019-12-10T17_54_05-Measurement_2","r05c01f05p06-ch4sk2fk1fl1","06","sk2","E01"
